name,label,n_nodes,n_edges,n_components,cyclomatic_number,cyclomatic_normalized,n_junctions,n_endpoints,junction_ratio,graph_density,avg_degree,degree_entropy,p_deg2,p_deg3,p_deg4,assortativity,avg_clustering,mean_edge_length,std_edge_length,max_edge_length,mean_euclidean_ratio,largest_component_ratio,n_h1_features,max_h1_persistence,mean_h1_persistence,total_h1_persistence,h1_persistence_entropy,n_h1_significant
retinal_Test_13_dr_HRF,retinal,1954,2019,415,480,0.237741456166419,922,1032,0.4718526100307062,0.0010581311799656304,2.0665301944728762,0.9979814014493461,0.0010235414534288639,0.3607983623336745,0.0977482088024565,0.6395493532733513,0.17647560559535994,9.155522535908865,18.14936058679812,158,0.9659963727198747,0.5665301944728761,72.0,76.49605941772461,13.087845219506157,942.3248558044434,3.75397478932851,39.0
retinal_Test_13_g_HRF,retinal,2451,2885,349,783,0.2714038128249567,1471,980,0.6001631986944105,0.0009608739456614959,2.354141166870665,1.0452020070838612,0.0,0.4602203182374541,0.127702978376173,0.5366701991505544,0.22363661090711273,7.4440207972270365,14.869136953654523,177,0.9433398137933177,0.7119543043655651,86.0,50.652992248535156,11.780963365421739,1013.1628494262695,3.962035434462503,52.0
retinal_Test_13_h_HRF,retinal,1224,1602,48,426,0.26591760299625467,907,317,0.7410130718954249,0.002140349189553172,2.6176470588235294,0.9611495154221016,0.0016339869281045752,0.6151960784313726,0.11274509803921569,0.19003742780609195,0.27489106753812637,11.38514357053683,21.20212704592448,179,0.9326263344435528,0.8897058823529411,76.0,62.60276794433594,13.97113807107273,1061.8064934015274,3.878818398967994,50.0
retinal_Test_14_dr_HRF,retinal,2982,3281,569,868,0.2645534897896983,1555,1427,0.5214621059691482,0.0007381873708987685,2.2005365526492286,1.0543541922191384,0.0,0.38665325285043595,0.11334674714956405,0.6346919273355257,0.19492510619271183,6.725083815909784,14.938459817313394,201,0.9622034318200043,0.5928906773977196,83.0,67.19984436035156,10.01116318731423,830.926544547081,3.839515490801892,34.0
retinal_Test_14_g_HRF,retinal,2385,2851,330,796,0.2792002806032971,1468,917,0.6155136268343816,0.0010028421482138083,2.390775681341719,1.0655162153054678,0.0012578616352201257,0.469601677148847,0.12872117400419286,0.5434435740523519,0.22588399720475194,7.60961066292529,16.153013697589024,172,0.9404916810862463,0.7144654088050314,73.0,63.150394439697266,11.294208533143344,824.4772229194641,3.869569257289008,41.0
retinal_Test_14_h_HRF,retinal,1356,1796,40,480,0.267260579064588,1034,322,0.7625368731563422,0.001954957602673372,2.6489675516224187,0.9388673367050878,0.005162241887905605,0.6342182890855457,0.11799410029498525,0.09314325308487054,0.2809734513274336,10.300111358574611,19.26733217325271,186,0.9392886341192558,0.4690265486725664,79.0,54.56101989746094,11.370728106438358,898.2875204086304,3.8318767157509965,43.0
retinal_Test_15_dr_HRF,retinal,1815,1834,396,415,0.2262813522355507,832,983,0.4584022038567493,0.001114077529833769,2.020936639118457,0.9535720073043861,0.0,0.362534435261708,0.0881542699724518,0.6131045996640648,0.17331496786042241,9.219193020719738,18.89366277704942,155,0.9675066192989685,0.5421487603305785,68.0,69.31256866455078,11.666565698735853,793.3264675140381,3.658030137251639,35.0
retinal_Test_15_g_HRF,retinal,2420,2622,446,648,0.2471395881006865,1258,1162,0.5198347107438016,0.0008958008056057588,2.1669421487603304,1.029699440964009,0.002892561983471074,0.40082644628099173,0.10413223140495868,0.57748101417722,0.19673553719008263,7.911899313501144,16.021851125222764,178,0.9578289905126293,0.5991735537190083,70.0,71.58821105957031,12.726066780090331,890.8246746063232,3.788763013994731,39.0
retinal_Test_15_h_HRF,retinal,1167,1572,36,441,0.28053435114503816,899,268,0.7703513281919452,0.0023105380819888263,2.6940874035989717,0.9962501551931555,0.006855184233076264,0.6161096829477292,0.13453299057412169,0.19690140074449178,0.29043130534133105,10.522900763358779,21.5294368511477,168,0.9378379503616858,0.9263067694944301,64.0,66.24239730834961,13.050830438733101,835.2531480789185,3.636206288166004,33.0
retinal_Test_Image_01L_CHASE,retinal,294,402,4,112,0.27860696517412936,237,57,0.8061224489795918,0.009333426203245803,2.7346938775510203,0.9022767887914294,0.006802721088435374,0.6802721088435374,0.10884353741496598,0.09571530587955102,0.30464852607709747,26.263681592039802,57.98824828945698,413,0.9246454788865266,0.9727891156462585,26.0,140.1082000732422,23.40180156322626,608.4468406438828,2.5228838813803036,11.0
retinal_Test_Image_01R_CHASE,retinal,369,504,2,137,0.2718253968253968,298,71,0.8075880758807588,0.007423117709437964,2.731707317073171,0.8229807083761498,0.0,0.6910569105691057,0.11653116531165311,-0.06348583536058917,0.29358626919602526,21.71230158730159,43.85689398781281,319,0.9264224182829736,0.994579945799458,29.0,91.7044906616211,19.50093335118787,565.5270671844482,2.8061165352346733,14.0
retinal_Test_Image_02L_CHASE,retinal,459,641,4,186,0.29017160686427457,379,80,0.8257080610021786,0.0060983151144980065,2.793028322440087,0.9058570759667793,0.006535947712418301,0.6840958605664488,0.12636165577342048,0.04952550415183788,0.3045751633986928,20.173166926677066,42.37290399458944,292,0.9311809391332486,0.9825708061002179,44.0,93.4772720336914,16.287123880603097,716.6334507465363,3.020768125575438,16.0
retinal_Test_Image_02R_CHASE,retinal,455,643,3,191,0.29704510108864696,372,83,0.8175824175824176,0.006225492569104904,2.8263736263736265,0.9580508486849328,0.0,0.6505494505494506,0.14285714285714285,0.01236365667413703,0.3072527472527472,20.12908242612753,45.688380664824635,404,0.9211886809774685,0.9912087912087912,36.0,109.65536499023438,16.73897808790207,602.6032111644745,2.9399743367074893,14.0
